,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
0,Duplex,,Córdoba,Claros del Bosque,Claros Del Bosque 5000,,,,,,2 Plantas,3 Dormitorios,3 Baños,1,Cubierta,180,160,185000
1,Duplex,Sur,Córdoba,Greenville 2,,Con Seguridad,,,,,,3 Dormitorios,,,,,,225000
2,Casa,,Villa Allende,La Herradura,01 1,Country,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,1592,400,380000
3,Casa,Norte,Córdoba,Villa Belgrano,,Abierto,Si,,,25 años,1 Planta,3 Dormitorios,4 Baños,2,Cubierta,1.200 mts2,446 mts2,420000
4,Casa,,Córdoba,Maipu Sección 2,Benjamin Igarzabal 1300,,,,,,,4 Dormitorios,4 Baños,2,Cubierta,350,316,250000
5,Casa,,Villa Allende,San Isidro,Consultar dirección,,,,,,,3 Dormitorios,3 Baños,,,1,1,620000
6,Casa,,Villa Carlos Paz,,Ayacucho esquina Colombia,,Si,,,,1 Planta,2 Dormitorios,2 Baños,3,,900,150,200000
7,Duplex,Sur,Córdoba,Claros del Bosque,,Con Seguridad,Si,,En Construcción,,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,,125,
8,Casa,,Córdoba,Maipu Sección 2,Malaga 1900,,,,,,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,296,221,135000
9,Casa,,Córdoba,Siete Soles,,Cerrado,Si,,,,1 Planta,3 Dormitorios,,,,,213,
10,Casa,,Mendiolaza,,Consultar dirección,,,,,,,4 Dormitorios,4 Baños,,,1500,600,800000
11,Duplex,Sur,Córdoba,Claros del Bosque,Celso Barrios 3000,Con Seguridad,No,,,,2 Plantas,3 Dormitorios,3 Baños,3,,134,,
12,Duplex,Sur,Córdoba,,,Con Seguridad,No,,En Construcción,,2 Plantas,3 Dormitorios,2 Baños,1,,125,,145000
13,Casa,,Otra,,Altos De Chateu 100,,,,,,2 Plantas,4 Dormitorios,4 Baños,4,Cubierta,1500,500,780000
14,Duplex,Sur,Córdoba,Manantiales,,Con Seguridad,No,,,,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,120,,135000
15,Casa,,Córdoba,Arguello,Pablo Buitrago 6828,,Si,,Terminada,18 años,1 Planta,3 Dormitorios,1 Baño,1,Cubierta,435,185,125000
16,Casa,,Córdoba,General Paz,25 de Mayo 1930,,Si,,Terminada,,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,300,160,155000
17,Casa,Norte,Córdoba,Urca,Menendez Pidal  4067,Abierto,,,Terminada,37 años,2 Plantas,Más de 4 Dormitorios,4 Baños,2,Cubierta,306,264,240000
18,Casa,Norte,Córdoba,Urca,Betania 2942,Abierto,Si,,,,1 Planta,2 Dormitorios,1 Baño,2,,167,90,119000
19,Casa,Norte,Córdoba,Zumaran,diaz solis 2284,Abierto,,,,,,2 Dormitorios,,,,200,120,80000
20,Casa,,San Roque,,,,Si,,,,,2 Dormitorios,2 Baños,1,Cubierta,,,135000
21,Casa,,Córdoba,Parque Horizonte,Hawai 4359,,Si,,,35 años,1 Planta,2 Dormitorios,1 Baño,,,165,87,82000
22,Casa,Norte,Córdoba,Urca,Gimenez Pastor esq. Barros Pasos 1300,Abierto,Si,,Terminada,30 años,1 Planta,3 Dormitorios,4 Baños,2,Cubierta,,,190000
23,Casa,Sur,Córdoba,Claros del Bosque,celso barrios 3700,Cerrado,,,,,,3 Dormitorios,,,,180,150,170000
24,Casa,Sur,Córdoba,Solares de Santa María,,Con Seguridad,,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,3,Cubierta,440,243,250000
25,Duplex,Sur,Córdoba,Matienzo,Los Nogales  4100,Abierto,Si,,Terminada,2 años,2 Plantas,3 Dormitorios,2 Baños,1,Semidescubierta,150,100,75000
26,Duplex,,Córdoba,,,,,,Terminada,50 Años,1 Planta,2 Dormitorios,1 Baño,1,,130,70,2000000
27,Casa,Sur,Córdoba,,Cno. San Antonio,Abierto,,,Terminada,13 años,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,2500,,250000
28,Casa,,Córdoba,Los Paraisos,Arquimedes   2801,Abierto,Si,,Terminada,40 años,,3 Dormitorios,1 Baño,1,,200,180,
29,Casa,,Córdoba,,Ramon Ocampo 1900,,,,,,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,250,130,100000
30,Casa,,La Calera,La Cuesta,country la cuesta,Country,Si,,,,1 Planta,3 Dormitorios,3 Baños,2,Semidescubierta,1480,268,320000
31,Duplex,Norte,Córdoba,,Manuel Quintana 1060,Con Seguridad,Si,,En Construcción,,2 Plantas,2 Dormitorios,2 Baños,1,Semidescubierta,,,250000
32,Casa,Norte,Córdoba,Chacra del Norte,spilimbergo y circunvalación,Con Seguridad,No,,,,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,180,155,180000
33,Casa,,La Calera,La Rufina, la rufina 1111,Country,Si,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,900,330,450000
34,Duplex,,La Calera,,Ejercito Argentino 500,,,,,,3 Plantas,3 Dormitorios,2 Baños,1,Cubierta,140,140,135000
