,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
0,Casa,,Córdoba,Liceo General Paz,,,,,,20,2,3,3,2,,300,230,150000
1,Casa,,Córdoba,Bajo Palermo,Luis Galeano 1400,,,,,51,1,4,3,2,,776,286,235000
2,Duplex,,Córdoba,Villa Rivera Indarte,Los Reartes 8900,,,,,6,1,2,1,,,330,70,82000
3,Chalet,,Pdo. de Punilla,Villa Carlos Paz,Los Cerros 1400,,,,,15,3,4,4,1,,450,370,420000
4,Casa,,Countries y Barrios Cerrados Cordoba Capital,Las Delicias,,,,,,6,2,3,3,2,,1.600,350,620000
5,Casa,,Córdoba,Lomas de la Carolina,Country Lomas De La Carolina 0,,,,,13,2,4,5,3,,1.500,580,830000
6,Casa,,Córdoba,San Vicente,Agustin Garzon 3200,,,,,50,2,3,2,1,,185,161,135000
7,,,Córdoba,Villa Belgrano,Gay Lussac 6200,,,,,25,,4,3,,,1.714,446,480000
8,,,Córdoba,Lomas de la Carolina,Monseñor Pablo Cabrera 2000,,,,,10,,4,2,,,302,210,170000
9,Casa,,Córdoba,Urca,Mariano Larra 4000,,,,,23,2,3,4,2,,600,248,320000
10,Casa,,Villa Allende,Cumbres del Golf,CERRO INCAHUASI 1400,,,,,2,2,1,2,2,,1.088,120,150000
11,Duplex,,Córdoba,Las Margaritas,Diaz De Solis 2200,,,,,32,2,2,2,1,,93,91,80000
12,Casa,,Pdo. de Calamuchita,Santa Monica,,,,,,,1,1,1,,,1.585,72,75000
13,Casa,,Córdoba,Poeta Lugones,E Berisso 2700,,,,,,1,4,2,,,390,170,180000
14,Casa,,Pdo. de Punilla,Villa Carlos Paz,,,,,,,2,4,4,5,,2.000,400,550000
15,Casa,,Córdoba,Padre Claret,Martin Gil 4500,,,,,50,1,2,1,1,,376,83,120000
16,Chalet,,Pdo. de Punilla,Villa Carlos Paz,E Heine 100,,,,,,,4,3,,,4.600,400,290000
17,,,Córdoba,Cerro De Las Rosas,ROQUE FERREYRA 1700,,,,,20,,3,2,,,,,218000
18,Casa,,Pdo. de Cordoba Capital,Cordoba,J De Maturana 1200,,,,,29,2,3,4,2,,350,286,350000
19,Casa,,Córdoba,Villa Belgrano,,,,,,44,1,3,2,,,1.059,232,260000
20,Casa,,Córdoba,Villa El Libertador,Villa Maria 5500,,,,,,1,3,2,1,,,,46391
21,Casa,,Córdoba,Urca,,,,,,25,2,3,4,4,,400,300,300000
22,,,Córdoba,Lomas de la Carolina,Lomas de la Carolina 0,,,,,16,,3,4,,,,,750000
23,Duplex,,Córdoba,Arguello,Buitrago 6500,,,,,,,3,2,,,180,125,150000
24,Casa,,Córdoba,Arguello Norte,,,,,,59,1,2,,1,,450,116,55000
25,Casa,,Córdoba,Quisquisacate,Tahuantisuyo 7300,,,,,6,2,3,3,3,,550,168,160000
26,Casa,,Córdoba,Las Palmas,Venta Y Media 4900,,,,,40,1,2,1,,,400,117,65000
27,Casa,,Pdo. de Colon,Villa Allende,,,,,,3,2,3,,,,350,130,130000
28,,,Pdo. de Cordoba Capital,Cordoba,Cerro - Gregorio Matorras 3400,,,,,34,,3,2,,,,,240000
29,Casa,,Córdoba,Villa Warcalde,1 100,,,,,,1,3,3,1,,1.450,250,300000
30,Casa,,Córdoba,Villa Belgrano,Carlos Nicole 5900,,,,,45,1,3,1,1,,400,140,130000
31,,,Córdoba,Arguello,RAMON Y CAJAL 5800,,,,,15,,3,4,,,"                IMPORTANTE PROPIEDAD EN ARGUELLO DE ESTILO INGLES AMERICANO     Excelente casa ubicada en una de las arterias mas lindas de zona norte. La misma tiene dos plantas y  3 dormitorios uno en suite y  4 baños.     Cochera cerrada para dos autos y en exterior para 4 autos mas.     Exterior: Pileta, gran galería, quincho con asador y baño, piscina y buena vegetación.     Estado General: Excelente y de primera categoría – techos de madera, pisos de Madera de Lapacho y Carpintería de Cedro.     Calefacción Frio Calor Central en toda la casa y quincho     750     Sup. Cubierta: 350     AVISO: Sujeto a disponibilidad  La información contenida en esta publicación es meramente referencial. Los datos incorporados en el mismo no constituyen oferta alguna, sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista  para evaluar posibilidad de operación inmobiliaria”. DESCALZI ","                IMPORTANTE PROPIEDAD EN ARGUELLO DE ESTILO INGLES AMERICANO     Excelente casa ubicada en una de las arterias mas lindas de zona norte. La misma tiene dos plantas y  3 dormitorios uno en suite y  4 baños.     Cochera cerrada para dos autos y en exterior para 4 autos mas.     Exterior: Pileta, gran galería, quincho con asador y baño, piscina y buena vegetación.     Estado General: Excelente y de primera categoría – techos de madera, pisos de Madera de Lapacho y Carpintería de Cedro.     Calefacción Frio Calor Central en toda la casa y quincho     Sup. Terreno: 750     350     AVISO: Sujeto a disponibilidad  La información contenida en esta publicación es meramente referencial. Los datos incorporados en el mismo no constituyen oferta alguna, sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista  para evaluar posibilidad de operación inmobiliaria”. DESCALZI ",400000
32,Casa,,Countries y Barrios Cerrados Cordoba Capital,Riveras De Manantiales,Riberas De Manantiales 100,,,,,1,2,3,2,,,392,166,250000
33,Casa,,Córdoba,San Martin,"Centenario 600, PB° piso",,,,,50,,1,1,,,,,
34,Casa,,Countries y Barrios Cerrados Cordoba Capital,El Bosque,,,,,,2,2,4,4,2,,1.500,430,760000
35,Casa,,Córdoba,Lomas de la Carolina,Country Lomas De La Carolina 0,,,,,18,2,3,3,2,,1.612,310,480000
36,Casa,,Córdoba,Cerro De Las Rosas,Nicanor Carranza 4000,,,,,47,2,3,3,1,,320,250,140000
37,Casa,,Córdoba,San Jose,Domingo De Irusta 8900,,,,,22,1,4,2,,,462,233,165000
38,CasaQuinta,,Pdo. de Santa Maria,Alta Gracia,,,,,,,,2,2,,,,250,
39,Casa,,Pdo. de Punilla,Villa Parque Siquiman,,,,,,,1,4,3,2,,1.000,317,180000
40,Duplex,,Pdo. de Cordoba Capital,Cordoba,CELSO BARRIOS 3500,,,,,,,2,2,1,,,80,130000
41,Casa,,Córdoba,Villa Belgrano,Justo Liebig 5300,,,,,28,1,3,4,2,,891,181,240000
42,Casa,,Córdoba,Observatorio,Francisco De Laprida 500,,,,,,,3,2,,,,250,170000
43,Casa,,Villa Carlos Paz,Santa Rita,Gob. Garzon 300,,,,,,2,7,4,2,,450,232,350000
44,Casa,,Countries y Barrios Cerrados Cordoba Capital,El Bosque,,,,,,8,2,3,4,2,,1.550,320,520000
45,Casa,,Córdoba,Arguello,Divino Maestro 8400,,,,,,,3,3,,,624,230,260000
46,Casa,,Pdo. de Colon,Mendiolaza,,,,,,16,,3,1,,,525,160,130000
47,Casa,,Pdo. de Colon,Mendiolaza,,,,,,15,2,2,2,,,1.050,200,130000
48,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,,,,,,,,3,3,,,638,206,355000
49,Casa,,Córdoba,Rivera Indarte,"Casa en Venta en Barrio Cerrado ""El Bosque"" ",,,,,,,3,4,,,1.550,320,520000
50,Casa,,Córdoba,Arguello,Pablo Buitrago 6600,,,,,15,2,3,3,2,,700,290,260000
51,Casa,,Villa Carlos Paz,Santa Rita,"Gob, Garzon 100",,,,,,2,3,2,2,,450,177,240000
52,Casa,,Córdoba,Palermo Bajo,R Pedroni 1600,,,,,,,,,,,,,315000
53,Casa,,Pdo. de Punilla,Villa Carlos Paz,Heine Y Moliere 100,,,,,,,8,5,13,,7.800,410,969000
54,,,Pdo. de Cordoba Capital,Cordoba,MANUEL CORVALAN 100,,,,,23,,3,3,,,,,250000
55,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido Las Cigarras,,,,,,10,2,4,3,3,,830,330,470000
56,Casa,,Córdoba,Villa Belgrano,,,,,,17,2,4,2,2,,400,220,230000
57,Casa,,Alta Gracia,Pellegrini,Av Pellegrini 100,,,,,,,3,5,,,900,430,550000
58,,,Córdoba,Urca,menendez pidal al 3500 ,,,,,,,3,2,,,360,170,240000
59,Duplex,,Pdo. de Colon,La Calera,,,,,,,,2,2,,,140,80,70000
60,Duplex,,Córdoba,Centro,Dante 1300,,,,,5,2,3,3,2,,,160,120000
61,Casa,,Córdoba,Arguello Norte,,,,,,60,,2,2,,,616,200,130000
62,Casa,,Córdoba,Cofico,Pje. Santos Vega 1000,,,,,30,1,3,,2,,262,189,215000
63,,,Córdoba,Urca,Mayor Arruabarrena 1140 ,,,,,40,1,4,3,2,,410,239,210000
64,Casa,,Pdo. de Cordoba Capital,Cordoba,,,,,,,,2,,,,,,76675
65,Casa,,Pdo. de Colon,Mendiolaza,,,,,,20,,3,3,,,900,190,190000
66,Casa,,Córdoba,Villa Belgrano,Chateau Village - Laplace y Carlos Lineo 0,,,,,5,,3,5,2,,,350,
67,,,Córdoba,Nueva Cordoba,MARCELO T DE ALVEAR 900,,,,,10,,3,4,,,,,180000
68,Casa,,Pdo. de Colon,La Granja,"Liquidambar S/n, La Granja, CÓrdoba. 0",,,,,8,2,3,3,,,2.400,300,
69,Casa,,Pdo. de Colon,Saldan,,,,,,,,,,,,500,260,130000
70,Casa,,Villa Carlos Paz,Jose Muñoz,,,,,,,1,3,1,1,,288,149,130000
71,,,Pdo. de Cordoba Capital,Cordoba,Esteban Bustos 1300,,,,,,,4,4,,,,,420000
72,Casa,,Córdoba,Cerro De Las Rosas,Fray Mocho 2600,,,,,,,3,2,,,,,158000
73,Departamento,,Pdo. de Cordoba Capital,Cordoba,,,,,,,,,,,,,,325500
74,,,Córdoba,Urca,roque ferreyra al 1100 ,,,,,38,,3,3,,,,,240000
75,Casa,,Villa Carlos Paz,Santa Rita,,,,,,30,2,5,4,2,,2.000,400,395000
76,Chalet,,Pdo. de Punilla,Los Cocos,,,,,,,,3,2,,,2.300,300,170000
77,Cabana,,Pdo. de Calamuchita,Villa Del Dique,,,,,,,,,,,,,,450000
78,,,Córdoba,Cofico,Gral. Juan B. Bustos al 800 ,,,,,,1,2,1,2,,144,130,115000
79,Casa,,Córdoba,Villa Rivera Indarte,ARROYITO 8900,,,,,,1,3,2,3,,,,165000
80,CasaQuinta,,Pdo. de Punilla,Charbonier,,,,,,8,2,4,2,,,80.000,110,310000
81,,,Countries y Barrios Cerrados Cordoba Capital,Claros del Bosque,Claros del Bosque ,,,,,,2,3,3,1,,180,139,180500
82,Casa,,Pdo. de General San Martin,Villa Maria,BV. CARCANO 100,,,,,,,,,,,,,280000
83,,,Countries y Barrios Cerrados Cordoba Capital,Claros del Bosque,Claros Village Manzana 31 lote 1 ,,,,,,2,3,2,1,,180,154,185000
84,Casa,,Villa Carlos Paz,Causana,Causana 100,,,,,28,2,3,2,2,,450,210,320000
85,Casa,,Córdoba,Rosedal ,,,,,,,,3,2,,,250,200,78608
86,,,Córdoba,Cerro De Las Rosas,Jose Esteban Bustos al 1600 ,,,,,20,2,5,5,2,,919,527,380000
87,Casa,,Córdoba,Villa Rivera Indarte,,,,,,12,1,4,3,1,,1.000,194,165000
88,Chalet,,Pdo. de Punilla,Bialet Masse,,,,,,,1,3,3,2,,1.925,160,170000
89,Casa,,Córdoba,Alto Verde,,,,,,,1,3,2,2,,780,260,220000
90,,,Córdoba,Cabaña Del Pilar,Av. Spilimbergo s/n ,,,,,,,3,3,1,,183,161,200000
91,Casa,,Villa Carlos Paz,Causana,Causana 100,,,,,,,3,5,,,,280,450000
92,,,Córdoba,Uocra,Matra al 8500 ,,,,,,,3,1,,,300,128,48453
93,,,Córdoba,Manantiales,miradores de manantiales ,,,,,,1,3,2,2,,250,140,175000
94,Casa,,Córdoba,Alto Alberdi,Francisco De Laprida 2000,,,,,,,,,,,340,230,155000
95,Casa,,Pdo. de Punilla,Bialet Masse,Melian 300,,,,,10,,3,2,,,1.108,183,160000
96,Casa,,Alta Gracia,Cafferata,,,,,,,,4,2,,,256,200,120000
97,Casa,,Córdoba,Los Naranjos,Alte G Brown 1700,,,,,,,,,,,250,140,125000
98,Casa,,Córdoba,El Refugio,HUAYNA 6800,,,,,15,2,3,2,,,708,181,185000
99,Casa,,Pdo. de Punilla,Villa Parque Siquiman,,,,,,10,1,2,1,1,,314,67,43000
100,Casa,,Pdo. de Punilla,Villa Carlos Paz,Cod 285 Dinamarca 100,,,,,,,5,4,2,,576,160,85000
101,,,Córdoba,Villa Cabrera,Gregorio Carreras 2400,,,,,58,,3,2,,,,,160000
102,Casa,,Córdoba,Don Bosco,Tercillo Gambino 100,,,,,43,,3,1,1,,,,80000
103,Casa,,Villa Carlos Paz,Causana,Causana 100,,,,,,2,2,2,2,,700,90,150000
104,Casa,,Pdo. de Punilla,Villa Carlos Paz,Torricelli 200,,,,,6,,2,,2,,693,74,75000
105,Casa,,Córdoba,Villa Belgrano,Jacobo Joule 6400,,,,,30,1,3,3,2,,697,319,325000
106,Casa,,Pdo. de San Javier,Loma Bola,,,,,,,,3,2,,,3.000,238,220000
107,Casa,,Córdoba,Granja De Funes,Carlos Aubone 5700,,,,,27,1,3,2,2,,480,212,195000
108,Casa,,Villa Allende,4 Hojas,,,,,,13,2,4,4,2,,1.367,350,350000
109,Casa,,Villa Allende,San Isidro,,,,,,,,4,4,4,,640,300,360000
110,Casa,,Córdoba,Arguello,,,,,,30,1,4,2,,,420,130,155000
111,,,Córdoba,Alto Alberdi,Angel de predo al 1700 ,,,,,21,,3,2,2,,224,177,110000
112,,,Córdoba,Centro,Avenida Bodereau 8700,,,,,2,,2,3,,,245,100,135000
113,,,Córdoba,General Paz,Catamarca al 1900 ,,,,,,2,4,4,3,,842,743,500000
114,Duplex,,Córdoba,Providencia,Chacra del Norte-Spilimbergo  3500 ,,,,,,2,3,3,2,,180,,185000
115,Casa,,Pdo. de Colon,Mendiolaza,,,,,,15,2,3,2,2,,880,210,120000
116,Casa,,Pdo. de Punilla,Santa Maria De Punilla,Intendente Oscar Nani 100,,,,,,,3,,,,300,85,51546
117,Casa,,Pdo. de Punilla,Villa Carlos Paz,Cod 268 Av Perito Moreno 100,,,,,,2,3,2,,,700,140,140000
118,Duplex,,Pdo. de Cordoba Capital,Cordoba,,,,,,,,3,3,,,180,160,195000
119,,,Córdoba,Altos De Vélez Sarsfield,Dr Horacio Martinez al 3700 ,,,,,56,1,3,1,1,,250,160,110000
120,,,Pdo. de Cordoba Capital,Cordoba,Juramento 0,,,,,18,,4,4,,,,,420000
121,Duplex,,Córdoba,Cerro De Las Rosas,"Palmas Del Claret, Pan De Azucar 1500",,,,,8,,2,2,,,90,90,110000
122,Casa,,Villa Carlos Paz,La Quinta,9 de julio 0,,,,,5,2,4,3,1,,550,220,200000
