,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
0,Casa,,Córdoba,Manantiales,San Antonio 2400,,,,,,,3.0,3.0,2.0,,250,180,240000.0
1,Casa,,Córdoba,Jardín,Tupac Amaru 3100,,,,,50,,3.0,2.0,0.0,,190,,0.0
2,Casa,,Córdoba,Jardín,CARIFEO 3625,,,,,10,,3.0,2.0,,,375,175,0.0
3,Casa,,Córdoba,URCA,Saturnino Segurola 1217,,,,,30,,3.0,3.0,2.0,,250,486,280000.0
4,Casa,,Córdoba,Argüello,Av. Recta Martinolli 8800,,,,,A estrenar,,3.0,2.0,,,250,156,1.0
5,Casa,,Córdoba,Córdoba,Av Ciudad de Valparaiso 4339,,,,,5,,3.0,4.0,,,1000,376,650000.0
6,Casa,,Córdoba,Jardín,CELSO BARRIOS 1500,,,,,,,3.0,3.0,2.0,,1000,400,850000.0
7,Casa,,Córdoba,Manantiales,San Antonio 2400,,,,,,,3.0,3.0,2.0,,250,180,240000.0
8,Casa,,Córdoba,Manantiales,San Antonio 2400,,,,,,,3.0,3.0,2.0,,300,192,270000.0
9,Casa,,Punilla,Punilla,Excelente Emprendimiento! 4 Amb. Piscina y Cochera!!,,,,,En construcción,,2.0,,,,500,105,150000.0
10,Casa,,La Calera,La Estanzuela,Casa en Country Gran Cordoba,,,,,6,,3.0,4.0,2.0,,500,382,270000.0
11,Casa,,Córdoba,Camino a San Carlos,Fortin del Pozo 100,,,,,8,,3.0,3.0,3.0,,330,330,650000.0
12,Casa,,Villa Allende,Villa Allende.,La Paloma 100,,,,,5,,3.0,2.0,2.0,,1380,217,290000.0
13,Casa,,Córdoba,Manantiales,San Antonio 2400,,,,,,,3.0,2.0,,,250,120,180000.0
14,Casa,,Córdoba,Córdoba,ANTA 891,,,,,25,,2.0,,,,266,207,165000.0
15,Casa,,Córdoba,asa DE Categoria ,Villa Belgrano ,,,,,6,,4.0,4.0,4.0,,1250,550,480000.0
16,Casa,,Córdoba,Villa Belgrano,Ramón y Cajal 5600,,,,,20,,4.0,3.0,2.0,,395,210,230000.0
17,Casa,,Villa Allende,Cumbres de Villa Allende,cerro incahuasi 1090,,,,,10,,3.0,,,,180,125,103000.0
18,Casa,,Córdoba,Manantiales,Cruz Roja y Rio Negro. Parada 7,,,,,En construcción,,3.0,,,,144,127,0.0
19,Casa,,Córdoba,Poeta Lugones,Betinoti   3100,,,,,,,3.0,2.0,,,180,160,169000.0
20,Casa,,Alta Gracia,Córdoba,EL ARADO 100,,,,,,,3.0,3.0,,,290,290,340000.0
21,Casa,,Córdoba,Villa Belgrano,Ramon y Cajal 5600,,,,,15,,4.0,3.0,2.0,,250,250,250000.0
22,Casa,,La Calera,Cuesta Colorada,Los Claveles 2200,,,,,1,,2.0,,,,98,86,74000.0
23,Casa,,Alta Gracia,El Potrerillo de Larreta,pellegrini 700,,,,,8,,3.0,4.0,6.0,,7089,696,2000000.0
24,Casa,,Córdoba,Valle Escondido ,Republica de china  900,,,,,,,3.0,4.0,3.0,,360,330,300000.0
25,Casa,,Córdoba,URCA,Mayor Arruabarrena 1070,,,,,30,,4.0,4.0,,,819,448,395000.0
26,Casa,,Mendiolaza,Las Corzuelas,E 53 Las Corzuelas ,,,,,A estrenar,,3.0,3.0,2.0,,1560,217,230000.0
27,Casa,,Córdoba,Valle Escondido ,Rossen Barrio Privado - Tipologia C 3 Dormitorios,,,,,En construcción,,3.0,2.0,2.0,,175,125,0.0
28,Casa,,Villa Allende,San Isidro,Padre Luchesse,,,,,6,,3.0,3.0,2.0,,615,250,320000.0
29,Casa,,Villa Allende,Terrazas de Villa Allende,Mazarron 223,,,,,4,,3.0,,0.0,,720,137,115979.0
30,Casa,,Córdoba,El Bosque,Av. los alamos S/número,,,,,14,,4.0,4.0,,,2279,498,850000.0
31,Casa,,Córdoba,Valle Escondido ,av republica china,,,,,1,,3.0,3.0,,,360,214,0.0
32,Casa,,Córdoba,Santina Norte,Republica de china  6000,,,,,,,3.0,3.0,2.0,,638,206,355000.0
33,Casa,,Córdoba,Miradores de Manantiales,San Antonio 2400,,,,,,,3.0,3.0,2.0,,250,187,250000.0
34,Casa,,Córdoba,Villa Cabrera,Ricardo Pedroni 1900,,,,,70,,3.0,3.0,2.0,,280,280,325000.0
35,Casa,,Córdoba,Jardín del sur,Av Velez Sarsfield 4100,,,,,,,4.0,2.0,2.0,,475,280,300000.0
36,Casa,,Córdoba,Camino a San Carlos,Av. Ohiggins  6000,,,,,A estrenar,,3.0,3.0,,,194,149,220000.0
37,Casa,,Córdoba,Jardín,CELSO BARRIOS 1500,,,,,,,3.0,4.0,,,400,400,630000.0
38,Casa,,Córdoba,Miradores de Manantiales,San Antonio 2400,,,,,,,3.0,3.0,2.0,,250,198,250000.0
39,Casa,,Córdoba,Villa Belgrano,Av. Recta Martinolli 7000,,,,,10,,3.0,,2.0,,300,150,240000.0
40,Casa,,Río Ceballos,Villa Catalina,E53 Km 10,,,,,A estrenar,,3.0,2.0,,,508,109,145000.0
41,Casa,,Córdoba,Córdoba,Country Manantiales |,,,,,A estrenar,,4.0,4.0,2.0,,1000,330,550000.0
42,Casa,,Córdoba,Villa Belgrano,Villa Belgrano Housing 3 Dormitorios Planta Baja,,,,,A estrenar,,3.0,2.0,2.0,,260,170,220000.0
43,Casa,,Córdoba,Córdoba,Cap. Castagnari 5700,,,,,En construcción,,3.0,2.0,,,141,117,175000.0
44,Casa,,Córdoba,La Rufina,La Rufina 1,,,,,5,,3.0,2.0,0.0,,926,320,530000.0
45,Casa,,Córdoba,Villa Warcalde,ricardo santos ,,,,,4,,4.0,3.0,2.0,,400,250,480000.0
46,Casa,,Córdoba,Córdoba,Valle Escondido Oportunidad Casa 3 Dorm  Barrio El Prado,,,,,2,,3.0,3.0,2.0,,660,310,1.0
47,Casa,,Villa Carlos Paz,Villa Carlos Paz,SALTA,,,,,50,,4.0,,2.0,,800,220,280000.0
48,Casa,,Córdoba,Argüello,Huayna 7400,,,,,1,,3.0,4.0,4.0,,778,400,0.0
49,Casa,,Córdoba,Ayacucho,JUSTO ARGÜELLO 1600,,,,,50,,2.0,2.0,,,300,160,80000.0
50,Casa,,La Calera,La Estanzuela,La Estanzuela Jorge Luis Borges 400,,,,,5,,4.0,4.0,2.0,,500,382,270000.0
51,Casa,,Córdoba,Villa Belgrano,Ramon y Cajal 4800,,,,,25,,5.0,4.0,2.0,,395,215,0.0
52,Casa,,Córdoba,Villa Warcalde,Altos de Warcalde - Ricardo Santos 10460,,,,,5,,4.0,3.0,2.0,,405,247,480000.0
53,Casa,,Córdoba,Miradores de Manantiales,San Antonio 1300,,,,,,,2.0,3.0,,,125,122,135000.0
54,Casa,,Córdoba,Claros del Bosque,Celso Barrios 3500,,,,,,,3.0,3.0,,,120,120,145000.0
55,Casa,,Córdoba,Cañuelas Country Golf,Las cañuelas country ,,,,,,,,,,,,,950000.0
56,Casa,,Villa Allende,La Paloma,mendoza,,,,,15,,5.0,4.0,2.0,,1600,400,348000.0
57,Casa,,Mendiolaza,Mendiolaza,01  100,,,,,,,3.0,3.0,2.0,,1100,234,340000.0
58,Casa,,Alta Gracia,Alta Gracia,Anisacate,,,,,5,,3.0,2.0,2.0,,800,210,250000.0
59,Casa,,Córdoba,Córdoba,Fincas del Sur 2 ,,,,,,,,,,,,,435000.0
60,Casa,,La Calera,Los Prados 2,CERVANTES,,,,,A estrenar,,2.0,,,,95,85,55000.0
61,Casa,,Córdoba,Poeta Lugones,Raul Casariego   4400,,,,,9,,3.0,2.0,,,250,233,180000.0
62,Casa,,La Falda,La Falda,Av. Patria 900/908,,,,,16,,4.0,3.0,4.0,,2500,375,420000.0
63,Casa,,Villa Allende,San Isidro,Av. Padre Luchesse 100,,,,,10,,3.0,4.0,3.0,,900,320,360000.0
64,Casa,,Villa Carlos Paz,Villa Carlos Paz,ruta 20,,,,,5,,2.0,2.0,2.0,,320,92,55000.0
65,Casa,,Villa Allende,Chacras de la Villa,Luchesse,,,,,6,,4.0,3.0,2.0,,1000,360,365000.0
66,Casa,,Córdoba,Claros del Bosque,CELSO BARRIOS  3500,,,,,,,3.0,2.0,3.0,,360,200,335000.0
67,Casa,,Córdoba,Córdoba,Ohiggins ,,,,,,,,,,,,,235000.0
68,Casa,,Villa Allende,Villa Allende Centro,Urquiza ,,,,,95,,5.0,5.0,,,1980,410,0.0
69,Casa,,Córdoba,v. O'Higgins ,Greenville 2,,,,,,,,,,,,,230000.0
70,Casa,,La Calera,La Calera,Ejercito Argentino  500,,,,,,,3.0,2.0,,,140,140,135000.0
71,Casa,,Río Ceballos,Villa Catalina,e53,,,,,A estrenar,,2.0,,,,500,135,0.0
72,Casa,,Córdoba,Villa Belgrano,Federico Hopkins ,,,,,A estrenar,,3.0,3.0,,,200,160,0.0
73,Casa,,Córdoba,Cañuelas Country Golf,Las cañuelas country ,,,,,,,,,,,,,890000.0
74,Casa,,Córdoba,Villa Rivera Indarte,La catalina ,,,,,,,,,,,,,125000.0
75,Casa,,Córdoba,Alberdi,Misiones ,,,,,54,,0.0,3.0,,,245,247,1.0
76,Casa,,Córdoba,v. Ejército Argentino  ,Las Delicias,,,,,,,,,,,,,600000.0
