,Tipo de Propiedad,Zona,Barrio,Tipo de Barrio,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Superficie Cubierta m2,Superficie Total m2,Zona_was_missing,Barrio_was_missing,Tipo de Barrio_was_missing,Cantidad de Dormitorios_was_missing,Cantidad de Baños_was_missing,Cantidad de Cocheras_was_missing,Superficie Cubierta m2_was_missing,Superficie Total m2_was_missing,Valor
0,Duplex,Sur,Claros del Bosque,Cerrado,3.0,3.0,1.0,160.0,180.0,False,False,False,False,False,False,False,False,185000.0
1,Duplex,Sur,Greenville 2,Con Seguridad,3.0,2.0,0.0,182.13589477539062,296.814208984375,False,False,False,False,True,True,True,True,225000.0
2,Casa,Cerro-Argüello,La Herradura,Country,3.0,3.0,2.0,400.0,1592.0,False,False,False,False,False,False,False,False,380000.0
4,Casa,Sudeste,Maipú Sección 2,Abierto,4.0,4.0,2.0,316.0,350.0,False,False,False,False,False,False,False,False,250000.0
6,Casa,Sudeste,Maipú Sección 2,Abierto,3.0,2.0,1.0,221.0,296.0,False,False,False,False,False,False,False,False,135000.0
7,Duplex,Sur,Otro,Con Seguridad,3.0,2.0,1.0,150.8302001953125,125.0,True,True,True,False,False,False,True,False,145000.0
8,Duplex,Sur,Manantiales,Con Seguridad,2.0,2.0,1.0,116.58846282958984,120.0,False,False,False,False,False,False,True,False,135000.0
9,Casa,Cerro-Argüello,Argüello,Abierto,3.0,1.0,1.0,185.0,435.0,False,False,False,False,False,False,False,False,125000.0
10,Casa,Este,General Paz,Abierto,3.0,2.0,1.0,160.0,300.0,False,False,False,False,False,False,False,False,155000.0
11,Casa,Cerro-Argüello,Urca,Abierto,5.0,4.0,2.0,264.0,306.0,False,False,False,False,False,False,False,False,240000.0
12,Casa,Cerro-Argüello,Urca,Abierto,2.0,1.0,2.0,90.0,167.0,False,False,False,False,False,False,False,False,119000.0
13,Casa,Noroeste,Zumaran,Abierto,2.0,2.0,0.0,120.0,200.0,False,False,False,False,True,True,False,False,80000.0
14,Casa,Sur,Parque Horizonte,Abierto,2.0,1.0,0.0,87.0,165.0,False,False,False,False,False,True,False,False,82000.0
15,Casa,Cerro-Argüello,Urca,Abierto,3.0,4.0,2.0,187.36846923828125,321.8989562988281,False,False,False,False,False,False,True,True,190000.0
16,Casa,Sur,Claros del Bosque,Cerrado,3.0,2.0,0.0,150.0,180.0,False,False,False,False,True,True,False,False,170000.0
17,Casa,Sur,Solares de Santa María,Con Seguridad,3.0,3.0,3.0,243.0,440.0,False,False,False,False,False,False,False,False,250000.0
18,Duplex,Sudoeste,Matienzo,Abierto,3.0,2.0,1.0,100.0,150.0,False,False,False,False,False,False,False,False,75000.0
19,Casa,Sur,Otro,Abierto,2.0,2.0,1.0,181.20614624023438,2500.0,True,True,True,False,False,False,True,False,250000.0
20,Casa,Oeste,La Cuesta,Country,3.0,3.0,2.0,268.0,1480.0,False,False,False,False,False,False,False,False,320000.0
21,Duplex,Norte,Otro,Con Seguridad,2.0,2.0,1.0,181.20614624023438,413.645263671875,True,True,True,False,False,False,True,True,250000.0
22,Casa,Noroeste,Chacra del Norte,Con Seguridad,3.0,3.0,2.0,155.0,180.0,False,False,False,False,False,False,False,False,180000.0
23,Casa,Oeste,La Rufina,Country,3.0,3.0,2.0,330.0,900.0,False,False,False,False,False,False,False,False,450000.0
24,Casa,Cerro-Argüello,Villa Warcalde,Abierto,3.0,3.0,2.0,300.0,1500.0,False,False,False,False,False,False,False,False,400000.0
25,Casa,Norte,Alta Córdoba,Abierto,4.0,2.0,0.0,212.0,232.0,False,False,False,False,True,True,False,False,280000.0
26,Casa,Cerro-Argüello,Comarca de Allende,Con Seguridad,2.0,2.0,2.0,130.0,360.0,False,False,False,False,False,False,False,False,165000.0
27,Duplex,Noroeste,Chacra del Norte,Con Seguridad,3.0,3.0,2.0,175.0,180.0,False,False,False,False,False,False,False,False,220000.0
28,Duplex,Oeste,El Rodeo,Con Seguridad,3.0,3.0,1.0,180.8004150390625,235.72483825683594,False,False,False,False,False,False,True,True,205000.0
29,Casa,Cerro-Argüello,Golf,Abierto,4.0,4.0,2.0,230.0,650.0,False,False,False,False,False,False,False,False,246000.0
30,Casa,Central,Nueva Córdoba,Abierto,2.0,2.0,0.0,111.1408462524414,193.31094360351562,False,False,False,False,True,True,True,True,124000.0
31,Casa,Oeste,Alto Alberdi,Abierto,3.0,2.0,4.0,180.0,290.0,False,False,False,False,False,False,False,False,110000.0
32,Casa,Central,Nueva Córdoba,Abierto,2.0,1.0,0.0,108.33067321777344,217.75863647460938,False,False,False,False,False,True,True,True,85000.0
33,Casa,Sur,Otro,Abierto,3.0,2.0,1.0,158.1754150390625,300.0,True,True,True,False,False,False,True,False,160000.0
34,Duplex,Sur,Manantiales,Con Seguridad,3.0,2.0,1.0,100.0,125.0,False,False,False,False,False,False,False,False,140000.0
35,Duplex,Sur,Claros del Bosque,Cerrado,2.0,1.0,1.0,115.0,180.0,False,False,False,False,False,False,False,False,130000.0
36,Duplex,Cerro-Argüello,Palmas de Claret,Cerrado,2.0,2.0,0.0,115.9957275390625,184.36666870117188,False,False,False,False,False,True,True,True,83000.0
37,Casa,Cerro-Argüello,Villa Warcalde,Abierto,3.0,3.0,2.0,216.46971130371094,411.5094909667969,False,False,False,False,False,False,True,True,280000.0
38,Casa,Oeste,Valle Escondido,Cerrado,4.0,3.0,4.0,287.0,750.0,False,False,False,False,False,False,False,False,440000.0
39,Casa,Oeste,Valle Escondido,Cerrado,3.0,3.0,2.0,247.0,600.0,False,False,False,False,False,False,False,False,350000.0
40,Casa,Norte,Cofico,Abierto,4.0,4.0,1.0,270.0,200.0,False,False,False,False,False,False,False,False,210000.0
41,Casa,Este,General Paz,Abierto,2.0,1.0,0.0,90.0,140.0,False,False,False,False,False,True,False,False,55000.0
42,Casa,Cerro-Argüello,Urca,Abierto,4.0,3.0,4.0,700.0,360.0,False,False,False,False,False,False,False,False,360000.0
43,Casa,Noroeste,Alto Verde,Abierto,3.0,2.0,0.0,200.0,408.0,False,False,False,False,False,True,False,False,130000.0
44,Casa,Noroeste,Villa Cabrera,Abierto,3.0,2.0,1.0,140.0,590.0,False,False,False,False,False,False,False,False,150000.0
45,Casa,Cerro-Argüello,Villa Belgrano,Abierto,4.0,3.0,1.0,420.0,850.0,False,False,False,False,False,False,False,False,380000.0
46,Casa,Cerro-Argüello,Villa Belgrano,Abierto,3.0,2.0,0.0,195.4747314453125,358.67352294921875,False,False,False,False,True,True,True,True,240000.0
47,Casa,Sur,Cañuelas,Country,3.0,5.0,3.0,400.0,1540.0,False,False,False,False,False,False,False,False,890000.0
48,Casa,Cerro-Argüello,Condor Alto,Abierto,3.0,4.0,1.0,350.0,2400.0,False,False,False,False,False,False,False,False,300000.0
49,Casa,Norte,Otro,Cerrado,3.0,2.0,1.0,200.0,750.0,True,True,True,False,False,False,False,False,225000.0
50,Casa,Norte,Cofico,Abierto,4.0,4.0,1.0,270.0,200.0,False,False,False,False,False,False,False,False,210000.0
51,Casa,Oeste,La Cuesta,Country,3.0,2.0,1.0,130.0,285.9164733886719,False,False,False,False,False,False,False,True,220000.0
52,Casa,Oeste,Lomas de la Carolina,Country,4.0,2.0,2.0,390.0,1500.0,False,False,False,False,True,False,False,False,475000.0
53,Casa,Noroeste,Altos de San Martín,Abierto,4.0,4.0,2.0,234.0,371.3815612792969,False,False,False,False,False,False,False,True,330000.0
54,Casa,Sur,Jardín Espinosa,Abierto,4.0,5.0,2.0,560.0,621.0,False,False,False,False,False,False,False,False,460000.0
55,Casa,Oeste,Escobar,Abierto,3.0,1.0,0.0,80.0,130.0,False,False,False,False,False,True,False,False,58000.0
56,Casa,Nordeste,Parque Montecristo,Abierto,3.0,2.0,1.0,141.76803588867188,359.0,False,False,False,False,False,False,True,False,80000.0
57,Casa,Sur,Miradores de Manantiales,Con Seguridad,3.0,3.0,1.0,125.0,121.0,False,False,False,False,False,False,False,False,153000.0
58,Casa,Oeste,Palermo Bajo,Abierto,2.0,2.0,1.0,90.0,90.0,False,False,False,False,False,False,False,False,115000.0
59,Casa,Oeste,Las Delicias,Country,4.0,3.0,4.0,410.0,1900.0,False,False,False,False,False,False,False,False,600000.0
60,Casa,Sur,Jardín Espinosa,Abierto,4.0,2.0,0.0,248.0,360.0,False,False,False,False,False,True,False,False,310000.0
61,Casa,Oeste,Quebrada de las Rosas,Abierto,3.0,4.0,2.0,250.0,360.0,False,False,False,False,False,False,False,False,260000.0
62,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,4.0,4.0,2.0,360.0,1000.0,False,False,False,False,False,False,False,False,365000.0
63,Casa,Norte,Ayacucho,Abierto,4.0,4.0,1.0,304.0,296.0,False,False,False,False,False,False,False,False,170000.0
64,Casa,Oeste,Escobar,Abierto,4.0,2.0,0.0,223.44464111328125,435.6246337890625,False,False,False,False,True,True,True,True,280000.0
65,Casa,Oeste,Valle Escondido,Cerrado,3.0,2.0,2.0,170.0,600.0,False,False,False,False,False,False,False,False,290000.0
66,Casa,Sur,Parque Horizonte,Abierto,2.0,2.0,0.0,113.27860260009766,182.03077697753906,False,False,False,False,True,True,True,True,100000.0
67,Casa,Sur,Jardín,Abierto,2.0,2.0,2.0,180.0,363.0,False,False,False,False,False,False,False,False,260000.0
68,Casa,Sur,Otro,Country,3.0,2.0,0.0,273.31927490234375,582.8737182617188,True,True,True,False,True,True,True,True,450000.0
69,Casa,Cerro-Argüello,Cuatro Hojas,Cerrado,4.0,4.0,3.0,270.0,1065.0,False,False,False,False,False,False,False,False,279900.0
70,Duplex,Cerro-Argüello,Argüello,Abierto,3.0,2.0,1.0,159.48306274414062,255.4993896484375,False,False,False,False,False,False,True,True,175000.0
71,Casa,Sur,Claros del Bosque,Cerrado,2.0,1.0,1.0,120.0,180.0,False,False,False,False,False,False,False,False,120000.0
72,Casa,Este,General Paz,Abierto,2.0,2.0,0.0,134.9143524169922,254.28274536132812,False,False,False,False,True,True,True,True,170000.0
73,Casa,Oeste,Cuesta Colorada,Cerrado,2.0,2.0,1.0,130.0,912.0,False,False,False,False,False,False,False,False,123000.0
74,Duplex,Cerro-Argüello,Lomas Este,Abierto,2.0,2.0,2.0,80.0,245.0,False,False,False,False,False,False,False,False,90000.0
75,Casa,Norte,Otro,Abierto,3.0,2.0,0.0,170.7369842529297,286.4593200683594,True,True,True,False,True,True,True,True,190000.0
76,Casa,Oeste,Tejas III,Cerrado,3.0,3.0,2.0,180.0,500.0,False,False,False,False,False,False,False,False,220000.0
77,Casa,Oeste,Tejas III,Cerrado,3.0,4.0,2.0,152.0,206.0,False,False,False,False,False,False,False,False,260000.0
78,Casa,Cerro-Argüello,Villa Warcalde,Abierto,2.0,2.0,2.0,130.0,440.0,False,False,False,False,False,False,False,False,175000.0
79,Casa,Cerro-Argüello,Villa Allende,Abierto,4.0,2.0,0.0,160.0,1112.0,False,False,False,False,True,True,False,False,200000.0
80,Casa,Sur,Los Mimbres,Con Seguridad,3.0,2.0,0.0,250.0,1500.0,False,False,False,False,False,True,False,False,340000.0
81,Duplex,Sur,Miradores de Manantiales,Con Seguridad,3.0,2.0,1.0,124.0,125.0,False,False,False,False,False,False,False,False,145000.0
82,Casa,Sur,Colinas de Vélez Sársfield,Abierto,3.0,2.0,2.0,150.0,277.0,False,False,False,False,False,False,False,False,170000.0
83,Casa,Oeste,Valle Escondido,Cerrado,3.0,2.0,1.0,170.0,340.0,False,False,False,False,False,False,False,False,255000.0
84,Casa,Sur,Tejas del Sur I,Cerrado,3.0,2.0,2.0,200.0,300.0,False,False,False,False,False,False,False,False,300000.0
85,Duplex,Sur,La Paya II,Con Seguridad,3.0,3.0,2.0,110.0,125.0,False,False,False,False,False,False,False,False,167000.0
86,Casa,Este,General Paz,Abierto,3.0,2.0,0.0,192.21719360351562,335.63226318359375,False,False,False,False,True,True,True,True,230000.0
87,Casa,Cerro-Argüello,San Alfonso del Talar,Cerrado,4.0,3.0,2.0,180.0,503.0,False,False,False,False,False,False,False,False,245000.0
88,Casa,Sur,Parque Vélez Sársfield,Abierto,2.0,2.0,0.0,95.0,250.0,False,False,False,False,True,True,False,False,120000.0
89,Casa,Cerro-Argüello,Comarca de Allende,Con Seguridad,3.0,2.0,0.0,158.1754150390625,249.37783813476562,False,False,False,False,True,True,True,True,155000.0
90,Casa,Cerro-Argüello,Urca,Abierto,4.0,4.0,1.0,320.0,869.0,False,False,False,False,False,False,False,False,320000.0
92,Casa,Cerro-Argüello,Villa Belgrano,Abierto,3.0,3.0,1.0,180.0,170.0,False,False,False,False,False,False,False,False,210000.0
93,Casa,Cerro-Argüello,Santina Norte,Cerrado,2.0,4.0,1.0,330.0,600.0,False,False,False,True,False,False,False,False,390000.0
